"name" "lat" "lon" "lat.lon" "no.judg"
"181" "Sąd Rejonowy w Mławie" 53.1133378 20.3777671 "53.1133378:20.3777671" 0
"182" "Sąd Rejonowy w Płocku" 52.5424946 19.6880116 "52.5424946:19.6880116" 0
"183" "Sąd Rejonowy w Płońsku" 52.6304477 20.3786892 "52.6304477:20.3786892" 0
"184" "Sąd Rejonowy w Sochaczewie" 52.2264224 20.2414665 "52.2264224:20.2414665" 0
"185" "Sąd Rejonowy w Żyrardowie" 52.0535031 20.4470069 "52.0535031:20.4470069" 0
"186" "Sąd Apelacyjny w Lublinie" 51.245149 22.5481574 "51.245149:22.5481574" 1411
"187" "Sąd Okręgowy w Lublinie" 51.248044 22.5560582 "51.248044:22.5560582" 969
"188" "Sąd Rejonowy w Białej Podlaskiej" 52.0348591 23.123121 "52.0348591:23.123121" 0
"204" "Sąd Rejonowy w Mińsku Mazowieckim" 52.1803377 21.5567312 "52.1803377:21.5567312" 0
"205" "Sąd Rejonowy w Siedlcach" 52.1695636 22.2791013 "52.1695636:22.2791013" 0
"206" "Sąd Rejonowy w Węgrowie" 52.3969135 22.0104969 "52.3969135:22.0104969" 0
"207" "Sąd Okręgowy w Zamościu" 50.717513 23.249559 "50.717513:23.249559" 64
"208" "Sąd Rejonowy w Biłgoraju" 50.540439 22.7219688 "50.540439:22.7219688" 0
"209" "Sąd Rejonowy w Hrubieszowie" 50.805564 23.8859817 "50.805564:23.8859817" 0
"210" "Sąd Rejonowy w Tomaszowie Lubelskim" 50.447137 23.41672 "50.447137:23.41672" 0
"211" "Sąd Rejonowy w Zamościu" 50.717513 23.249559 "50.717513:23.249559" 0
"212" "Sąd Apelacyjny w Poznaniu" 52.438581 16.918097 "52.438581:16.918097" 2161
"213" "Sąd Okręgowy w Koninie" 52.2328898 18.2498566 "52.2328898:18.2498566" 407
"229" "Sąd Rejonowy w Wągrowcu" 52.8112748 17.2005467 "52.8112748:17.2005467" 0
"230" "Sąd Okręgowy w Zielonej Górze" 51.9371793 15.5036403 "51.9371793:15.5036403" 79
"231" "Sąd Rejonowy w Krośnie Odrzańskim" 52.054966 15.105641 "52.054966:15.105641" 0
"232" "Sąd Rejonowy w Nowej Soli" 51.80701 15.7153834 "51.80701:15.7153834" 0
"233" "Sąd Rejonowy w Świebodzinie" 52.2493623 15.5363094 "52.2493623:15.5363094" 0
"234" "Sąd Rejonowy w Zielonej Górze" 51.9369333 15.5019129 "51.9369333:15.5019129" 0
"235" "Sąd Rejonowy w Żaganiu" 51.613876 15.32524 "51.613876:15.32524" 0
"237" "Sąd Apelacyjny w Rzeszowie" 50.0408168 22.0065174 "50.0408168:22.0065174" 1509
"238" "Sąd Okręgowy w Krośnie" 49.6922865 21.7661504 "49.6922865:21.7661504" 2
"252" "Sąd Rejonowy w Jarosławiu" 50.0155943 22.6753806 "50.0155943:22.6753806" 0
"253" "Sąd Rejonowy w Przemyślu" 49.7838623 22.7677908 "49.7838623:22.7677908" 0
"254" "Sąd Apelacyjny w Szczecinie" 54.1920451 16.2002203 "54.1920451:16.2002203" 3202
"255" "Sąd Okręgowy w Gorzowie Wielkopolskim" 52.7427474 15.2295549 "52.7427474:15.2295549" 24
"256" "Sąd Rejonowy w Gorzowie Wielkopolskim" 52.7326114 15.2242881 "52.7326114:15.2242881" 0
"257" "Sąd Rejonowy w Międzyrzeczu" 52.4432115 15.5731086 "52.4432115:15.5731086" 0
"258" "Sąd Rejonowy w Słubicach" 52.356817 14.5671684 "52.356817:14.5671684" 0
"259" "Sąd Okręgowy w Koszalinie" 54.1920451 16.2002203 "54.1920451:16.2002203" 153
"260" "Sąd Rejonowy w Białogardzie" 54.0062843 15.9805786 "54.0062843:15.9805786" 0
"261" "Sąd Rejonowy w Drawsku Pomorskim" 53.5284156 15.8127217 "53.5284156:15.8127217" 0
"277" "Sąd Rejonowy w Grodzisku Mazowieckim" 52.107306 20.627744 "52.107306:20.627744" 32
"278" "Sąd Rejonowy w Piasecznie" 52.0732251 21.0266679 "52.0732251:21.0266679" 22
"279" "Sąd Rejonowy w Pruszkowie" 52.162731 20.811445 "52.162731:20.811445" 70
"280" "Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie" 52.2374248 20.985633 "52.2374248:20.985633" 127
"281" "Sąd Rejonowy dla m. st. Warszawy w Warszawie" 52.2274854 21.0137813 "52.2274854:21.0137813" 657
"282" "Sąd Rejonowy dla Warszawy-Śródmieścia w Warszawie" 52.2274854 21.0137813 "52.2274854:21.0137813" 308
"283" "Sąd Rejonowy dla Warszawy-Woli w Warszawie" 52.2374248 20.985633 "52.2374248:20.985633" 0
"284" "Sąd Rejonowy dla Warszawy-Żoliborza w Warszawie" 52.2296756 21.0122287 "52.2296756:21.0122287" 2
"285" "Sąd Okręgowy Warszawa-Praga w Warszawie" 52.2488288 21.0691811 "52.2488288:21.0691811" 343
"286" "Sąd Rejonowy w Legionowie" 52.3948021 20.9192218 "52.3948021:20.9192218" 74
